relative_path,bytes,sha256,decodable,width,height,fps,frame_count,duration_seconds
stage1/original/000001.mp4,526859,877b6804d709acd31a8e7c4843590d674d3877fffab3d8c076332462787d2179,True,1280,720,10.0,50,5.0
stage1/original/000002.mp4,286879,11400de54cd39aaaf96c9ec0a47566f15dc5db86166e4d620e5a53a341252662,True,1280,720,10.0,50,5.0
stage1/original/000003.mp4,427410,37aa2954975cb3de5263edc5084d7fb10512db055d5eb5eaf226d0ef94c1c003,True,1280,720,10.0,50,5.0
stage1/original/000004.mp4,305244,beeb68a9eeeccb610030fc06fd898551321532f1961eadc82ac5fe7ec893c93b,True,1280,720,10.0,50,5.0
stage1/original/000005.mp4,363811,9753763c372b7bf2526a38fc60835dcab9cbe725ed984d1cb32a10c349fb0caf,True,1280,720,10.0,50,5.0
stage1/rerecorded/000001.mp4,1029884,e7bced4cb87a0a778584f5cb04624ca3c53138ee657db9d28a9b33cd94460c98,True,1280,720,10.0,50,5.0
stage1/rerecorded/000002.mp4,616068,a2cfefb07f354ed469314cd8ee1b5a0f23b087a74abbdc878d44f16c98c1257d,True,1280,720,10.0,50,5.0
stage1/rerecorded/000003.mp4,934964,475146cbbdd77fed97916d62aa65de45e7ed2b456b181331a6a34ff6a3c11353,True,1280,720,10.0,50,5.0
stage1/rerecorded/000004.mp4,674416,5b8e36586ebc9dcc7f454806996aa56eb10c3b561480d2688f4c81d0db6c139f,True,1280,720,10.0,50,5.0
stage1/rerecorded/000005.mp4,815289,78e60339638c58c07af33d03fedd8076d7014eb16f62c3baeb8c067730907011,True,1280,720,10.0,50,5.0
stage2/videos/000001.mp4,526859,877b6804d709acd31a8e7c4843590d674d3877fffab3d8c076332462787d2179,True,1280,720,10.0,50,5.0
stage2/videos/000002.mp4,286879,11400de54cd39aaaf96c9ec0a47566f15dc5db86166e4d620e5a53a341252662,True,1280,720,10.0,50,5.0
stage2/videos/000003.mp4,427410,37aa2954975cb3de5263edc5084d7fb10512db055d5eb5eaf226d0ef94c1c003,True,1280,720,10.0,50,5.0
stage2/videos/000004.mp4,305244,beeb68a9eeeccb610030fc06fd898551321532f1961eadc82ac5fe7ec893c93b,True,1280,720,10.0,50,5.0
stage2/videos/000005.mp4,363811,9753763c372b7bf2526a38fc60835dcab9cbe725ed984d1cb32a10c349fb0caf,True,1280,720,10.0,50,5.0
stage3/videos/OPEN_001.mp4,37534665,3d6590bc9cbe1c8d1956a1ff1e173dca610288821609d93aefa7ee25ab80b254,True,1164,874,479.779302,1200,2.50115
stage3/videos/OPEN_002.mp4,37533263,cd25f8d79377d2a775e7cfc0b8747ff60fe7d073697a8c4441a18e5a50054fc7,True,1164,874,480.178958,1201,2.501151
stage3/videos/OPEN_003.mp4,37468456,49ba4d36215db29a10b3ee61b4eaa01767fe6c07a244b45cb4b05578d3a234f2,True,1164,874,478.580491,1197,2.501147
stage3/videos/OPEN_004.mp4,37403267,d2ff2e8dbb17b157c67210855f55a35fd60fa8501f2b40d9a2ba65e1a0e12b92,True,1164,874,478.580491,1197,2.501147
stage3/videos/OPEN_005.mp4,37521019,fccb0a18a680bc24cf7d357a5cf273995459e945ffdb7231c255fcf43933aaf1,True,1164,874,478.580491,1197,2.501147
